1	75
2	77
3	81
4	85
5	89
6	95
7	101
8	111
9	105
10	103
11	103
12	103
13	103
14	102
15	102
16	102
17	103
18	103
19	102
20	102
21	102
22	103
23	103
24	102
25	102
26	103
27	103
28	103
29	103
30	103
31	103
32	103
33	103
34	103
35	103
36	103
37	103
38	103
39	104
40	103
41	103
42	103
43	103
44	103
45	103
46	103
47	103
48	103
49	103
50	104
51	103
52	109
53	111
54	103
55	103
56	103
57	103
58	103
59	103
60	103
61	104
62	104
63	104
64	104
65	103
66	103
67	103
68	103
69	104
70	104
71	104
72	104
73	104
74	104
75	104
76	104
77	104
78	104
79	112
80	108
81	103
82	103
83	103
84	104
85	104
86	104
87	104
88	104
89	104
90	104
91	104
92	104
93	105
94	104
95	104
96	104
97	104
98	104
99	105
100	105
101	105
102	105
103	105
104	105
105	105
106	105
107	105
108	105
109	105
110	105
111	104
112	104
113	104
114	104
115	105
116	105
117	105
118	105
119	105
120	105
121	105
122	105
123	105
124	106
125	105
126	105
127	104
128	104
129	105
130	105
131	105
132	105
133	105
134	106
135	106
136	106
137	106
138	106
139	106
140	106
141	106
142	106
143	106
144	106
145	105
146	105
147	105
148	105
149	106
150	106
151	106
152	106
153	106
154	106
155	114
156	110
157	106
158	106
159	106
160	106
161	106
162	106
163	106
164	107
165	105
166	106
167	106
168	106
169	106
170	106
171	106
172	107
173	106
174	107
175	107
176	107
177	107
178	106
179	107
180	106
181	107
182	107
183	107
184	106
185	107
186	107
187	106
188	107
189	106
190	106
191	107
192	106
193	107
194	106
195	107
196	106
197	106
198	107
199	107
